content,file_path
"纤维瘤问题请问乳腺纤维瘤做手术的话多久才能痊愈呢？能不能给我做这 ,简单的描述是请问纤维瘤做手术的话多久才能痊愈呢？能不能给我做这方面的细致回答！比如说做手术需要多长时间？要不要拆线？纤维瘤长在右胸部，什么时候才能用右手？做完手术能不能马上做飞机？多久才能完全恢复呢？谢谢！,答案是手术半个小时搞定，如果做皮内美容缝合不用拆线，一般缝合要拆线，7天就可以了，手术不影响右手活动，飞机肯定是不能在伤口愈合前座的，另外强调一点，纤维瘤的确诊还要等到手术后的病例结果，现在的诊断只能是高度怀疑，所有肿瘤的诊断只有病检才是金标准。",baike2018qa\baike_qa_train.json
"孕期感冒咳嗽对胎儿有影响吗？怀孕40天的时候开始感冒咳嗽，没有发 ,简单的描述是40天的时候开始感冒咳嗽，没有发烧，只是打喷嚏和轻微咳嗽，现在已经快10天了，还有鼻塞，少些鼻涕，一两声咳嗽，请问这种情况下孩子还能要吗？我有在服食中药了，这样感冒对还是影响大吗？,答案是  没有关系的，只要没有发烧就问题不大。很多孕妇在怀孕的时候感冒，所以你放宽心，并不是你一个人遇到这样的事，至于你吃了什么中药，能不能告诉我？因为有些中药孕妇是不能吃的，我可以帮你看一下。好吗？
  现在，你只需要好好休息，多喝开水！
",baike2018qa\baike_qa_train.json
"2个关于厄运的任务第1个是职业任务:在厄运打到的职业任务书,要到 ,简单的描述是第1个是任务:在厄运打到的职业任务书,要到几级才能触发接任务(我想送给小号,然后带小号去完成任务)?同理,饰品要几级才能佩带?第2个是锻造任务:我锻造已经300了,打到了1册铸甲书(打全了应该是三卷共6册),有了书应该是到厄运图书馆去交任务的,请问除了书事先还要准备什么材料吗?,答案是1.迦罗娜：潜行与诡计研究  54级触发任务,任务饰品拿到后就绑定,54级就能用.

2.不用.

",baike2018qa\baike_qa_train.json
"怎样计算房间的的刷漆的面积我的房子是建筑面积110平米的，今天刷 ,简单的描述是我的房子是建筑面积110平米的，今天刷漆的的活就要干完了，可是我不知道怎样计算，的说要建筑面积乘3.5，可也有的说要建筑面积乘3.2，也有的说要建筑面积乘3，但我也不知道哪个答案是正确的，如果其中的某一个答案是正确的，哪么它是怎么计算而得来的呢？现请教各位大侠。望帮一帮忙。在这里谢谢了。,答案是有的乘以3，有的乘以2.5，不一定的，这种计算方法不准确的，因为和 卫生间一般不要刷漆（贴墙砖），所以你可以不采用这种计算方法，以实际测量面积为准，而测量刷的面积也很简单的！以套房为例：（先算天花）你量一下每一个房间的长和宽（就是房间两条成90度角的边），然后相乘得出房间的面积所有的房间面积相加就是天花（或地板）的面积了，别忘了量过道、阳台如果你厨房和卫生间做吊顶那面积就不能重复计入算天花油漆面积了（再算墙壁）你先量一下你房间的层高是3米还是2米8（一般是这两种）然后你量一下每堵墙的宽，宽乘高即得墙的面积最后你把所有墙的面积相加就得出你套房的墙面积同时以此方法计算出门和窗的面积大门宽一般是1米2、房门宽一般是0.9米、厨房和厕所门宽一般是0.8或0.6米，窗宽和高你就得实测了（深圳有很多是圆弧窗）然后把窗和门的面积从你套房的墙面积里扣出去就行了另外，你可以给人家多抛几个平方米，来弥补那些角角边边要刷的面积算好以后你尽可能去复核，工程量就是这么算的    ：）",baike2018qa\baike_qa_train.json
"牙齿流脓第一个牙齿牙龈肿大那会，以为上火。没想到落下以后，经常有 ,简单的描述是第一个牙齿牙龈肿大那会，以为上火。没想到落下以后，经常有脓流出。去怕疼，所以没去看。有三年了。没想到，现在竟然传染到我的门牙 和下面一颗牙齿。门牙间也有了缝隙，很是难看。现在3颗牙齿都有这样的问题。我想问问，能治疗好么？具体什么步骤,答案是这是“齿槽脓肿”，速去正规医院口腔科就诊，不知牙齿能否保留，明确诊断后，针对性处理。
我是内科医生，请你放心，口腔科手术用麻药，不痛的。",baike2018qa\baike_qa_train.json
"喝油高手请指教如何把武器喝到幸运6幸运7在什么地方喝的怎样喝的有 ,简单的描述是如何把喝到幸运6 幸运7 在什么地方喝的 怎样喝的 有高手能详细说明的 送高分 请不懂装懂的朋友 不要乱说话 小心挨MA!    说的合理 说的详细的 送高分!!!,答案是推荐一个比较笨的办法，通过找幸运值喝油。你拿上要喝的武器去虫洞砍怪，遇到至少连续5个大爆就喝油，一次3个，不加就小退再喝，12个为一组，如果还不加就等 下次大爆，注意一定是连续大爆，中间间隔1，2个小怪也可以，但最好在5分钟以内有5个以上大爆。我就是这么喝的，把37裁决喝到6了，一共用了100多个油",baike2018qa\baike_qa_train.json
"两个问题问下龙脊草在什么地方?娜塔沙的项链(就是那个防御项链,名 ,简单的描述是龙脊草在什么地方? 娜塔沙的(就是那个防御项链,名字记不清了),任务在哪接的,听说是带刀锋接的,是后续吗? ,答案是娜塔沙的项链 任务在刀锋接的,是后续  任务
 
你那个草是 任务的吧",baike2018qa\baike_qa_train.json
"DELLD600笔记本接上USBHUB2.0后，提示不能识别使用 ,简单的描述是使用 HUB 1.1还可以，但使用1.1时，接上256M的U盘可以正常使用，而1G的U盘不能识别，于是换一个2.0的hub，但根本不能识别。原因及解决办法？,答案是你说的问题  好像是USB接口供电不足造成的，只能带一些 用电量小的USB设备，比如说优盘，  移动硬盘的电流 一般都在1000毫安以上 所以需要单独供电 比如说外接电源 其它接口取电等等",baike2018qa\baike_qa_train.json
"汽车消声有关问题请问一下:我的雅阁车在不久前,三元催化器坏了,我 ,简单的描述是请问一下:我的雅阁车在不久前,三元催化器坏了,我叫修车师傅把它搞掉了,现在已没有.听人说,三元催化器不影响尾声,可是,我的车现在的尾声很大,不知与三元催化敲掉有关,谢谢有关专家给我答案.,答案是你好！于汽车排放出来的尾气质量有关，但不影响汽车动力和其他方面，排气声音（噪音）会有所增加，但不大。没关系的，祝你好运！一路顺风！拥有爱车幸福一生！阖家幸福！",baike2018qa\baike_qa_train.json
"银根放宽(象棋手) ,简单的描述是,答案是金 松",baike2018qa\baike_qa_train.json
"上海普陀区shiquan路的中文是什么？ ,简单的描述是上海普陀区shi quan 路的是什么？,答案是石泉路",baike2018qa\baike_qa_train.json
