content,file_path
"问题是掌握第二外语/小语种是一种怎样的体验？,简单的描述是掌握精通一门或几门除母语和英语之外的语言是一种怎样的体验？<br>掌握精通一门或几门鲜有人知的小语种是怎样的体验？<br>有哪些因为掌握二外发生的趣事？,正文为大概就是强答一下吧 问答社区上大牛太多 算是会三门外语英日德 英语学了十几年每次考试基本都是高分，最近在准备雅思，考完再来补成绩 日语4号的时候去考了N1，也还没出分 德语最差，基本就是A2水准 总的来说是英语可以看我专业论文看剧看访谈可以没有字幕，日常日语听读没有太大问题，但是听新闻就有点我是拜仁球迷，于是会德语看一点新闻还是很方便的，这些角度来说掌握三门外语对我来说非常有用 感受就是要学的还有很多，路还",webtext2019zh\web_text_zh_testa.json
"问题是中国的公检法系统，有无「辩诉交易」的机制？,简单的描述是美剧中常有情节，为了节约审判过程的旷日费时，避免政府资源浪费，常有检察官和罪犯达成交易，罪犯认罪伏法，换取较轻刑期，直接和检察官达成协议。<br><br>请问中国的法律系统，有没有类似的设计，意即绕过法院系统，直接由罪犯和检察官商议，直接认罪坐牢的流程？若有如此的规定？如何避免私相授受，买通检察官的违法情事发生？<br><br>（劳改制度除外）,正文为这个问题曾经看到过，就随便说两句。先粘上一个案例： 聚焦国内“辩诉交易”第一案 辩诉交易是纯粹的舶来品，虽然已经有了司法实践，不过中国到现在还没有确立，也不可能确立这样一个制度。不管中国的刑诉法中有多少相似的规定，也仅仅是吸收的皮毛，却绝对不敢吸收其本质，大概有这么几个理由： 一，沉默权的问题。辩诉交易是建立在沉默权的基础之上，而中国的刑事诉讼讲求突破犯罪嫌疑人的口供作为重要证据来源。这一规定本身",webtext2019zh\web_text_zh_testa.json
"问题是东亚人有没有可能通过化妆和后期，cos出超级英雄一样深邃的五官？,简单的描述是最近看神奇女侠，盖尔加朵的五官简直太完美了。之前在网上有看到一位国外coser出的狼叔特别特别特别还原。都说日本化妆术中国ps是四大邪术之一，那么亚洲人有没有可能通过化妆和后期，打造出像美队神奇女侠一样深邃完美的五官呢？欢迎带图，想长长见识以下是一位外国人cos的狼叔。<img src,正文为你对cos一无所知。",webtext2019zh\web_text_zh_testa.json
"问题是向心力和离心力有什么关系和区别？,简单的描述是,正文为通俗讲就是，向心力是外界给物体的力。你看，我太阳要让地球让火星让木星这些绕着我转，就要施加一个力来拉着他们就是万有引力啦，这个牵拉他们的力就是向心力，对于地球对于火星对于木星来说这个力是外界施加的。离心力就是自己做曲线运动而产生的力。你看，我要绕圈圈，我有速度而且是曲线运动，法向势必有一个“力”，这个“力”起到了让我试图摆脱这个中心束缚的作用。当然，力的作用是相互的，向心力与离心力是分不开的",webtext2019zh\web_text_zh_testa.json
"问题是你有哪些有趣的「撩」或「被撩」的经历？,简单的描述是我发现大多数像我一样的单身狗，都不太会撩，所以想问下你有没有什么相关经历，能帮助大家涨涨经验开开眼的哇 。,正文为动车上，坐我旁边的小哥哥看我拿着pad玩解密游戏一直过不去，好心的跟我讲：你这样是过不去的。我帮你过吧。然后很快帮我玩过去了一关。我笑嘻嘻的说：厉害了，没想到也是个爱玩游戏的。他也笑眯眯的抓了抓头发，跟我讲说他就喜欢玩这种解密类的游戏。聊着聊着发现我俩都玩过好多类似的解密游戏。共同话题不能更多啊。后来他问我：你这么可爱，肯定有男朋友吧。我说：木有啊。网瘾少女没有爱情。然后他笑了：那你加我个好",webtext2019zh\web_text_zh_testa.json
"问题是你对现在试运行的问答社区Live有哪些建议？,简单的描述是刚刚突然冒出一个关于问答社区live的想法，却没有找到可以向问答社区官方提建议的地方。于是自己就大胆地来开一贴，大家可以吐槽，可以表扬。那么我自己先来一条：问答社区live能否考虑设置两种付费参加类型：高价者可以在讨论中发言另再增加一部分低价名额，只可以观看讨论做旁观者。这样既保证了讨论的有效性，又能大大增加受益者，不至于很多人想参加缺名额已满。,正文为1试听1-3分钟的选项，如果主讲人之前已经办过live，可以由live主讲人自己选择live中的一段语音作为试听，比如我会选择被大家点赞最多的一段语音作为试听内容。比如这个183个赞的语音内容。如果live还没开始，那么主讲人可以自己录一段1-3分钟的内容作为试听，live结束后也可以像刚才那样选择替换试听内容。2我自己作为主讲人特别希望问答社区有一个提前录音的功能，就是提前录制存好，3分钟3分钟的那种，像弹药一样备好，正",webtext2019zh\web_text_zh_testa.json
"问题是Windows10上什么软件值得推荐？,简单的描述是,正文为效果图： 第一步：将软件解压到任意位置 第二步：嗯，直接点击打开，然后在通知区域可以找到 i00 - Start Bar Fader右击 Options 如图min transparency 表示鼠标离开状态下任务栏的透明度 max transparency 表示鼠标进入后任务栏的透明度 Animate 表示变化过程是瞬变还是渐变的（打了勾表示渐变，有类似动态效果） 第三步 创建一个快捷方式，然后把他拉到菜单栏里面的所有程序下面的启动项里面 地址：httppan.baidu.coms1sj25hVJ",webtext2019zh\web_text_zh_testa.json
"问题是贫穷会对人的身心造成多大的影响？,简单的描述是,正文为怎么说呢，我觉得最重要的是心态。即使是同一个家庭教育出来的人也会不同。很典型，我们家是小城市，爸爸是工厂职工，后下海创业，妈妈是小学老师。家里俩孩子，哥哥和我。小时候也曾小富小贵过，直到后来上中学时，爸爸投资不善，生活才比较拮据。上大学时，不满17岁，爸爸送我来北京。到了大学才深刻体会到自己的经济有多差，最重要的是自己的眼界有多狭窄。在经济方面，从大一开始，爸爸给了我一千块钱做生活费，过年回家时给",webtext2019zh\web_text_zh_testa.json
"问题是新皇冠2.0T、雷克萨斯ES300h、雷克萨斯IS200t，怎么选？,简单的描述是非常感谢各位知友的热心帮助，经过最近一段时间的观察和比较，我个人比较倾向新皇冠2.0T的次顶配，然而又出现了两个让我纠结的车型，一款是雷克萨斯ES300h的中配，一款是新IS。<br><br>所以现在的备选车型变成了新皇冠2.0T的次顶配雷克萨斯ES300h的中配新IS200t。<br><br>由于一直很喜欢车子，所以这辆自己的第一辆车非常非常谨慎，选车的时间如果需要，我可以无限延长。<br><br>对于之前作答的知友我非常感谢，对于我改问题的行为我也十分抱歉。<br><br>如果有知友能为我提供意见或者与我一同讨论日系车，我非常非常欢迎如果有觉得我太作太犹豫不决的，可以直接不要回答了。<br><br><br><br>新皇冠的发动机和变速箱分别是丰田最新技术和最高端车型在使用，可是外形我不太喜欢。<br><br>es200赖于雷克萨斯品牌，且是整车进口很喜欢，外形也优雅，但是内饰老旧，发动机和凯美瑞同款有点掉价。<br><br>q50整体素质不错，但是转向系统和内饰不太喜欢。<br><br>目标大致框了这三辆车，自己对大概的利弊也了解如上，实在选不下来，求大神指条明路啊给我一个能让我指着其中一辆大喊就是你了的决心吧,正文为es300h车主，深度驾驶过老款is300，开过几天老款g37，买车时2.0t皇冠刚上，当时差点定了绝版的顶配v6皇冠...对这几款车型算是有一定了解。首先猜测楼主的预算是落地40内？经济条件不错，对品牌，外形和驾驶感有一定需求。楼主不喜欢q50转向莫非看的是顶配那款线控助力转向？具体没体验过，看了很多国内外车评，褒贬不一。隔绝路感肯定会有，但是驾驶起来也会更安逸。不过以英菲尼迪目前在华的销售状况，售后保障和保值率真的不",webtext2019zh\web_text_zh_testa.json
"问题是谢谢大家帮助。？,简单的描述是谢谢大家的回答。给大家带来打扰不好意思。嗯。我会努力的。,正文为我也是医学生，狗蛋也是，不过我也想知道谁邀请的狗蛋。以下是我在他答案里的评论： 狗蛋你别这样。我就没看题目描述，但我压根也不想知道她有多惨，但这么直截了当跟人伸手要钱跟乞丐有什么区别？还不如性工作者自己赚养活自己。我有点偏激了，但我只是心疼你。然后扫了你一眼描述，大致是家境不好父母有病自己也身体不好。在这里哭可怜哭穷有意思吗妹子不如自己靠自己？ 我这么跟你说吧，我爸爸肾囊肿，根本干不了多久的活。",webtext2019zh\web_text_zh_testa.json
